recording_id,speaker,label,class_name,split,audio_path,segment_index,segment_path,sr,segment_seconds,original_seconds,processed_seconds
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018.wav,0,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018__seg0000.wav,16000,3.0,14.745,14.08
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018.wav,1,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018__seg0001.wav,16000,3.0,14.745,14.08
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018.wav,2,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018__seg0002.wav,16000,3.0,14.745,14.08
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018.wav,3,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018__seg0003.wav,16000,3.0,14.745,14.08
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018.wav,4,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch123998-sg0018__seg0004.wav,16000,3.0,14.745,14.08
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012.wav,0,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012__seg0000.wav,16000,3.0,14.77,14.368
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012.wav,1,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012__seg0001.wav,16000,3.0,14.77,14.368
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012.wav,2,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012__seg0002.wav,16000,3.0,14.77,14.368
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012.wav,3,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012__seg0003.wav,16000,3.0,14.77,14.368
sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012,sp0154,0,not_allow,test,VOiCES_devkit\source-16k\sp0154\Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012.wav,4,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0154\sp0154__Lab41-SRI-VOiCES-src-sp0154-ch124002-sg0012__seg0004.wav,16000,3.0,14.77,14.368
sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018,sp0159,0,not_allow,test,VOiCES_devkit\source-16k\sp0159\Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018.wav,0,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0159\sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018__seg0000.wav,16000,3.0,16.54,16.192
sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018,sp0159,0,not_allow,test,VOiCES_devkit\source-16k\sp0159\Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018.wav,1,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0159\sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018__seg0001.wav,16000,3.0,16.54,16.192
sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018,sp0159,0,not_allow,test,VOiCES_devkit\source-16k\sp0159\Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018.wav,2,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0159\sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018__seg0002.wav,16000,3.0,16.54,16.192
sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018,sp0159,0,not_allow,test,VOiCES_devkit\source-16k\sp0159\Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018.wav,3,voice_access_files\data_cache\d9e067faca7e3c1c\segmented_audio\test\not_allow\sp0159\sp0159__Lab41-SRI-VOiCES-src-sp0159-ch121902-sg0018__seg0003.wav,16000,3.0,16.54,16.192
