recording_id,speaker,audio_path,y_true,n_segments,split,PC1,PC2,class_name
lect__recorded_sample_001,lect,VOiCES_devkit\source-16k\lect\recorded_sample_001.wav,0,8,train,0.6953313,-0.08768813,not_allow
p226__p226_001_mic1,p226,VOiCES_devkit\source-16k\p226\p226_001_mic1.wav,0,1,train,0.5396411,-0.30048987,not_allow
p226__p226_002_mic1,p226,VOiCES_devkit\source-16k\p226\p226_002_mic1.wav,0,1,train,0.5301869,0.20555872,not_allow
p226__p226_003_mic1,p226,VOiCES_devkit\source-16k\p226\p226_003_mic1.wav,0,3,train,0.353763,-0.02503419,not_allow
p226__p226_004_mic1,p226,VOiCES_devkit\source-16k\p226\p226_004_mic1.wav,0,2,train,0.22988032,-0.0378713,not_allow
p226__p226_005_mic1,p226,VOiCES_devkit\source-16k\p226\p226_005_mic1.wav,0,3,train,0.12243618,0.11859831,not_allow
p226__p226_006_mic1,p226,VOiCES_devkit\source-16k\p226\p226_006_mic1.wav,0,2,train,0.5543094,0.16857105,not_allow
p226__p226_007_mic1,p226,VOiCES_devkit\source-16k\p226\p226_007_mic1.wav,0,2,train,-0.002136522,0.058660597,not_allow
p226__p226_008_mic1,p226,VOiCES_devkit\source-16k\p226\p226_008_mic1.wav,0,3,train,0.07734586,0.20943034,not_allow
p226__p226_009_mic1,p226,VOiCES_devkit\source-16k\p226\p226_009_mic1.wav,0,2,train,0.48652747,0.1336079,not_allow
p226__p226_010_mic1,p226,VOiCES_devkit\source-16k\p226\p226_010_mic1.wav,0,1,train,-0.08702654,0.086004645,not_allow
p226__p226_011_mic1,p226,VOiCES_devkit\source-16k\p226\p226_011_mic1.wav,0,3,train,0.26978087,0.15658388,not_allow
p226__p226_012_mic1,p226,VOiCES_devkit\source-16k\p226\p226_012_mic1.wav,0,2,train,0.34451047,-0.055805966,not_allow
p226__p226_013_mic1,p226,VOiCES_devkit\source-16k\p226\p226_013_mic1.wav,0,2,train,0.23698209,-0.05632308,not_allow
p226__p226_014_mic1,p226,VOiCES_devkit\source-16k\p226\p226_014_mic1.wav,0,2,train,-0.06781131,0.16532731,not_allow
