mode,split,recording_id,speaker,class_name,score,threshold,signed_margin,predicted_label
prototype,train,p230__p230_032_mic1,p230,not_allow,0.8599623441696167,0.86,-3.765583038328746e-05,0
prototype,train,sp8225__Lab41-SRI-VOiCES-src-sp8225-ch274375-sg0038,sp8225,not_allow,0.8581386208534241,0.86,-0.0018613791465759144,0
prototype,valid,sp2764__Lab41-SRI-VOiCES-src-sp2764-ch036616-sg0012,sp2764,not_allow,0.857333779335022,0.86,-0.002666220664978014,0
prototype,train,p230__p230_002_mic1,p230,not_allow,0.85679692029953,0.86,-0.0032030797004699574,0
binary,valid,sp4014__Lab41-SRI-VOiCES-src-sp4014-ch186176-sg0020,sp4014,not_allow,0.5667355321347713,0.5700000000000001,-0.003264467865228715,0
prototype,train,p226__p226_067_mic1,p226,not_allow,0.8566309809684753,0.86,-0.003369019031524645,0
binary,train,p230__p230_041_mic1,p230,not_allow,0.5665550827980042,0.5700000000000001,-0.0034449172019959118,0
binary,train,p226__p226_135_mic1,p226,not_allow,0.5663959383964539,0.5700000000000001,-0.0036040616035462048,0
binary,valid,p225__p225_008_mic1,p225,allow,0.5747675377254685,0.5700000000000001,0.0047675377254684514,1
prototype,train,p226__p226_061_mic1,p226,not_allow,0.8551045060157776,0.86,-0.004895493984222399,0
binary,train,p229__p229_032_mic1,p229,not_allow,0.5639638900756836,0.5700000000000001,-0.006036109924316468,0
prototype,valid,p225__p225_008_mic1,p225,allow,0.8680147528648376,0.86,0.00801475286483766,1
prototype,test,p225__p225_235_mic1,p225,allow,0.868205189704895,0.86,0.008205189704895033,1
prototype,train,sp7445__Lab41-SRI-VOiCES-src-sp7445-ch094522-sg0005,sp7445,not_allow,0.8509828448295593,0.86,-0.00901715517044066,0
binary,train,p226__p226_180_mic1,p226,not_allow,0.5598025918006897,0.5700000000000001,-0.010197408199310365,0
prototype,train,p227__p227_078_mic1,p227,allow,0.8714196681976318,0.86,0.01141966819763185,1
prototype,train,p226__p226_135_mic1,p226,not_allow,0.8483518362045288,0.86,-0.011648163795471178,0
binary,test,p231__p231_026_mic1,p231,allow,0.5861958265304565,0.5700000000000001,0.01619582653045648,1
prototype,train,sp0636__Lab41-SRI-VOiCES-src-sp0636-ch128331-sg0015,sp0636,not_allow,0.8427140116691589,0.86,-0.01728598833084105,0
prototype,train,p230__p230_016_mic1,p230,not_allow,0.8420805931091309,0.86,-0.017919406890869127,0
binary,train,p226__p226_074_mic1,p226,not_allow,0.5518842339515686,0.5700000000000001,-0.01811576604843146,0
prototype,train,p226__p226_179_mic1,p226,not_allow,0.8416500091552734,0.86,-0.01834999084472655,0
prototype,train,p226__p226_010_mic1,p226,not_allow,0.8396658301353455,0.86,-0.020334169864654528,0
prototype,train,p230__p230_009_mic1,p230,not_allow,0.839486300945282,0.86,-0.020513699054718004,0
prototype,train,p226__p226_047_mic1,p226,not_allow,0.8389685153961182,0.86,-0.021031484603881823,0
prototype,valid,p231__p231_012_mic1,p231,allow,0.8811415433883667,0.86,0.021141543388366713,1
prototype,train,p226__p226_019_mic1,p226,not_allow,0.8385623693466187,0.86,-0.021437630653381334,0
binary,train,p226__p226_153_mic1,p226,not_allow,0.5485290884971619,0.5700000000000001,-0.021470911502838197,0
prototype,test,sp3446__Lab41-SRI-VOiCES-src-sp3446-ch176270-sg0019,sp3446,not_allow,0.8383224010467529,0.86,-0.021677598953247057,0
prototype,train,p226__p226_033_mic1,p226,not_allow,0.8382331132888794,0.86,-0.021766886711120592,0
prototype,test,p232__p232_027_mic1,p232,allow,0.8828119039535522,0.86,0.02281190395355226,1
prototype,test,p232__p232_005_mic1,p232,allow,0.8829901814460754,0.86,0.022990181446075453,1
prototype,train,p232__p232_015_mic1,p232,allow,0.8840063810348511,0.86,0.024006381034851088,1
binary,train,sp0636__Lab41-SRI-VOiCES-src-sp0636-ch128331-sg0015,sp0636,not_allow,0.5454956317941347,0.5700000000000001,-0.024504368205865323,0
prototype,train,p226__p226_102_mic1,p226,not_allow,0.8348662257194519,0.86,-0.025133774280548082,0
prototype,train,p226__p226_043_mic1,p226,not_allow,0.8332033753395081,0.86,-0.02679662466049193,0
prototype,train,p226__p226_177_mic1,p226,not_allow,0.8329434394836426,0.86,-0.02705656051635741,0
prototype,valid,sp5386__Lab41-SRI-VOiCES-src-sp5386-ch004145-sg0009,sp5386,not_allow,0.8307819366455078,0.86,-0.029218063354492174,0
binary,train,p226__p226_117_mic1,p226,not_allow,0.5398610830307007,0.5700000000000001,-0.03013891696929938,0
prototype,train,p226__p226_104_mic1,p226,not_allow,0.827412486076355,0.86,-0.032587513923645006,0
binary,test,sp3446__Lab41-SRI-VOiCES-src-sp3446-ch176270-sg0019,sp3446,not_allow,0.5367362746037543,0.5700000000000001,-0.03326372539624578,0
prototype,valid,p227__p227_003_mic1,p227,allow,0.8953496217727661,0.86,0.03534962177276613,1
