recording_id,speaker,audio_path,y_true,score,n_segments,mode,split,threshold,predicted_label,best_speaker,class_name,is_error,signed_margin,abs_margin
lect__recorded_sample_001,lect,VOiCES_devkit\source-16k\lect\recorded_sample_001.wav,0,0.011772393657338398,8,binary,train,0.5700000000000001,0,,not_allow,False,-0.5582276063426617,0.5582276063426617
p226__p226_001_mic1,p226,VOiCES_devkit\source-16k\p226\p226_001_mic1.wav,0,0.053124163299798965,1,binary,train,0.5700000000000001,0,,not_allow,False,-0.5168758367002011,0.5168758367002011
p226__p226_002_mic1,p226,VOiCES_devkit\source-16k\p226\p226_002_mic1.wav,0,0.08292025327682495,1,binary,train,0.5700000000000001,0,,not_allow,False,-0.4870797467231751,0.4870797467231751
p226__p226_003_mic1,p226,VOiCES_devkit\source-16k\p226\p226_003_mic1.wav,0,0.2434764914214611,3,binary,train,0.5700000000000001,0,,not_allow,False,-0.32652350857853896,0.32652350857853896
p226__p226_004_mic1,p226,VOiCES_devkit\source-16k\p226\p226_004_mic1.wav,0,0.2558320462703705,2,binary,train,0.5700000000000001,0,,not_allow,False,-0.3141679537296296,0.3141679537296296
p226__p226_005_mic1,p226,VOiCES_devkit\source-16k\p226\p226_005_mic1.wav,0,0.3777039547761281,3,binary,train,0.5700000000000001,0,,not_allow,False,-0.19229604522387195,0.19229604522387195
p226__p226_006_mic1,p226,VOiCES_devkit\source-16k\p226\p226_006_mic1.wav,0,0.07916462235152721,2,binary,train,0.5700000000000001,0,,not_allow,False,-0.49083537764847285,0.49083537764847285
p226__p226_007_mic1,p226,VOiCES_devkit\source-16k\p226\p226_007_mic1.wav,0,0.4158483296632767,2,binary,train,0.5700000000000001,0,,not_allow,False,-0.1541516703367234,0.1541516703367234
p226__p226_008_mic1,p226,VOiCES_devkit\source-16k\p226\p226_008_mic1.wav,0,0.3705664773782094,3,binary,train,0.5700000000000001,0,,not_allow,False,-0.19943352262179065,0.19943352262179065
p226__p226_009_mic1,p226,VOiCES_devkit\source-16k\p226\p226_009_mic1.wav,0,0.08976278454065323,2,binary,train,0.5700000000000001,0,,not_allow,False,-0.48023721545934683,0.48023721545934683
p226__p226_010_mic1,p226,VOiCES_devkit\source-16k\p226\p226_010_mic1.wav,0,0.4731141924858093,1,binary,train,0.5700000000000001,0,,not_allow,False,-0.09688580751419074,0.09688580751419074
p226__p226_011_mic1,p226,VOiCES_devkit\source-16k\p226\p226_011_mic1.wav,0,0.30183325707912445,3,binary,train,0.5700000000000001,0,,not_allow,False,-0.2681667429208756,0.2681667429208756
p226__p226_012_mic1,p226,VOiCES_devkit\source-16k\p226\p226_012_mic1.wav,0,0.19442186504602432,2,binary,train,0.5700000000000001,0,,not_allow,False,-0.37557813495397574,0.37557813495397574
